---,Index,Name,EnemyType,Level,ShieldMax,ShieldRest,ShieldRecover,HpMax,HpRest,HpRecover,AttackRange,Attack,SkillAttack,SkillCoolTime,Defence,Pierce,Accuracy,MoveSpd,FireRate,BulletSpd,ReloadSpd,CriticalRate,CriticalDamage,JumpForce,DropGroup,DropExp,BPEnemyPath,SetupSkills
1,100101,SwordMan,1,1,0,0,0,25,0,0,100,12,5,10,0,0,0.6,400,1,0.7,2,0,1,300,0,10,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
2,100102,SwordMan,1,2,0,0,0,40,0,0,100,16,5,10,0,0,0.6,450,1,0.7,2,0,1,300,0,10,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
3,100103,SwordMan,1,3,0,0,0,80,0,0,100,20,5,10,0,0,0.6,500,1.2,0.7,2,0,1,300,0,10,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
4,100201,Pistol,1,1,0,0,0,20,0,0,1000,8,5,10,0,0,0.6,300,0.8,0.7,1.4,0,1,300,0,15,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
5,100202,Pistol,1,2,0,0,0,35,0,0,1000,10,5,10,0,0,0.6,350,0.8,0.7,1.4,0,1,300,0,15,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
6,100203,Pistol,1,3,0,0,0,60,0,0,1000,13,5,10,0,0,0.6,400,0.8,0.7,1.4,0,1,300,0,15,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
7,100301,Assault,1,1,0,0,0,15,0,0,2500,6,5,10,0,0,0.6,250,1.3,0.9,1.7,0,1,300,0,20,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
8,100302,Assault,1,2,0,0,0,30,0,0,2500,9,5,10,0,0,0.6,300,1.3,0.9,1.7,0,1,300,0,20,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
9,100303,Assault,1,3,0,0,0,50,0,0,2500,12,5,10,0,0,0.6,350,1.4,0.9,1.7,0,1,300,0,20,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_1.Enemy_1_C',"((SkillIndex=0,Level=0))"
10,100401,Sniper,1,1,0,0,0,15,0,0,6500,30,5,10,0,0,0.6,100,0.4,1,2,0,1,300,0,25,/Script/Engine.Blueprint'/Game/Characters/Blueprints/Enemy_2.Enemy_2_C',"((SkillIndex=0,Level=0))"
