---,Chapter,Stage,StageName,Wave,SpawnPoint,SpawnEnemies,SpawnCoolTime
1,1,1,Stage_1,1,"(1,2,3)","((EnemyType=1,Count=4))",10
2,1,1,Stage_1,2,"(1,2,3)","((EnemyType=1,Count=3),(EnemyType=2,Count=2))",10
3,1,1,Stage_1,3,"(1,2,3)","((EnemyType=1,Count=4),(EnemyType=2,Count=4))",10
4,1,1,Stage_1,4,"(1,2,3)","((EnemyType=1,Count=3),(EnemyType=2,Count=2),(EnemyType=3,Count=2))",10
5,1,2,Stage_1_2,1,"(1,2,3)","((EnemyType=1,Count=6))",10
6,1,2,Stage_1_2,2,"(1,2,3)","((EnemyType=1,Count=4),(EnemyType=5,Count=3))",10
7,1,2,Stage_1_2,3,"(1,2,3)","((EnemyType=1,Count=4),(EnemyType=5,Count=3),(EnemyType=2,Count=3))",10
8,1,2,Stage_1_2,4,"(1,2,3)","((EnemyType=5,Count=4),(EnemyType=2,Count=3),(EnemyType=3,Count=3))",10
9,1,3,Stage_1_3,1,"(1,2,3)","((EnemyType=5,Count=5),(EnemyType=2,Count=3))",10
10,1,3,Stage_1_3,2,"(1,2,3)","((EnemyType=5,Count=4),(EnemyType=2,Count=4),(EnemyType=3,Count=3))",10
11,1,3,Stage_1_3,3,"(1,2,3)","((EnemyType=5,Count=4),(EnemyType=3,Count=4),(EnemyType=4,Count=2))",10
12,1,3,Stage_1_3,4,"(1,2,3)","((EnemyType=1,Count=6),(EnemyType=3,Count=4),(EnemyType=6,Count=1))",10
13,1,4,Stage_1_4,1,"(1,2,3)","((EnemyType=2,Count=4),(EnemyType=6,Count=2))",10
14,1,4,Stage_1_4,2,"(1,2,3)","((EnemyType=3,Count=6),(EnemyType=4,Count=2),(EnemyType=6,Count=2))",10
15,1,4,Stage_1_4,3,"(1,2,3)","((EnemyType=1,Count=6),(EnemyType=5,Count=3),(EnemyType=7,Count=1))",10
16,1,4,Stage_1_4,4,"(1,2,3)","((EnemyType=6,Count=3),(EnemyType=7,Count=2))",10
